"Submission ID","Respondent ID","Submitted at","Cheney Field and the Martin St field are owned by APS and are therefore publicly owned land. If given the choice, what is your vision for these lots?","What would you like to see?","Any Additional Comments?","Something Else - Supports Track","Duplicate"
"e5yMV8O","81Yy47O","2026-09-07 19:10:33","Green space","","","","No"
"gbgealN","Xx7kK1e","2026-09-07 19:47:17","Something else (write in)","I am open to the indoor track proposal, but any surface parking lot is a non-starter. Also, if ATC takes over the Cheney property, there should be 24/7 access to the outdoor track, and low or no cost memberships to anyone residing in NPU V to the facility.","","No","Yes"
"o9gp9j5","68YgLDB","2026-09-10 12:16:51","Green space","","","","No"
"0VG5E8A","lb1GQK6","2026-09-10 14:53:16","Green space","","","","No"
"rDgRKv5","NpNld7W","2026-09-10 23:44:16","Green space","","","","No"
"xVgEQ6E","zxByLDE","2026-09-10 23:44:39","ATC Indoor Track Proposal","","","","No"
"lagXA5V","obNevyM","2026-09-10 23:44:51","ATC Indoor Track Proposal","","","","No"
"PR4LEyx","J9jpM2z","2026-09-10 23:45:02","Something else (write in)","Any active use of the space that is appropriate for a neighborhood.","I’m generally in favor of the plan. ","Yes","No"
"aOkXxg2","lb2evNV","2026-09-10 23:45:05","ATC Indoor Track Proposal","","Strongly support this investment","","No"
"BE6q1l1","GxE95rQ","2026-09-10 23:45:06","ATC Indoor Track Proposal","","I think the track project is great but the parking needs to be limited to the one section that is a part of the church parking or possibly under the building or not at all. ","","No"
"lagXA2N","7R0LMo2","2026-09-10 23:45:39","ATC Indoor Track Proposal","","I love the idea of having an athletics focused center in Summerhill.","","No"
"o9gYBqP","dWGavZd","2026-09-10 23:46:25","Green space","","Keep them as he green spaces for our neighborhood especially since I use the park to play fetch with my dog since I don’t have a yard with living in townhome","","No"
"pe5XAgq","b5Rjv21","2026-09-10 23:46:33","ATC Indoor Track Proposal","","I am okay with the proposal ","","No"
"QojprL8","obNevlO","2026-09-10 23:46:37","ATC Indoor Track Proposal","","I support the proposal by ATC. I think it will create jobs and opportunities for low income residents in the neighborhood. It will bring activity and economic activity that is good for the neighborhood. We live in the center of Atlanta, essentially downtown, I expect this type of development to occur here.","","No"
"6D4GxZo","q4QDvg7","2026-09-10 23:48:14","ATC Indoor Track Proposal","","This is a great opportunity to build on the olympic legacy that is part of Summerhill.  This is an incredible public-private partnership to benefit the community, the health of the neighborhood and expand opportunities to APS!","","No"
"1WOzEL1","PdQ1rRV","2026-09-10 23:51:54","Something else (write in)","Green space, a library — wouldn’t that be great! — a pre-K. Perhaps a building that includes both. ","We’re late in making Cheney field something positive for the neighborhood. That’s left us open to others coming in with their ideas for the neighborhood. We should use this as an opportunity to finally act as a neighborhood. ","No","No"
"rDgRVXp","2EdaozL","2026-09-10 23:57:24","Green space","","","","No"
"gbgXL2J","dWGazoq","2026-09-10 23:57:31","ATC Indoor Track Proposal","","","","No"
"vXgVOgX","RGlgLp9","2026-09-11 00:06:34","Something else (write in)","A formal extension of Phoenix Park","Though the benefits for greenspace/parks are extensive for kids, a library would be a welcomed addition. There is plenty of space for both. ","No","No"
"9NxP2O1","kdjepXJ","2026-09-11 00:21:37","Green space","","","","No"
"QojpvqG","yPA2kpB","2026-09-11 00:29:33","ATC Indoor Track Proposal","","I am a fan of the dynamic nature of the project and the community benefits that will come along with it.","","No"
"PR4LVvd","LZx7AZO","2026-09-11 02:21:00","ATC Indoor Track Proposal","","I’m ok with developing an indoor track facility, however I don’t want a large parking lot in the field that is currently blocked off and is currently used for soccer practice. Our green space is vital to the community and I’m excited to bring more people to Summerhill but that is not a wise use of the space at all.","","No"
"lagXJJW","kdjeDWe","2026-09-11 02:23:33","ATC Indoor Track Proposal","","","","No"
"J1GbNLK","zxBypg8","2026-09-11 02:25:42","ATC Indoor Track Proposal","","","","No"
"e5y81kx","Y5BGDKq","2026-09-11 02:34:55","Green space","","Why not on one of the existing Summerhill lots?","","No"
"2jVYjQj","WObRJXk","2026-09-11 02:52:00","ATC Indoor Track Proposal","","","","No"
"bZgM9yL","81DLq9P","2026-09-11 03:01:50","Green space","","","","No"
